cod_distrito,cod_concelho,nome_concelho,casos,dia
15,4,Barreiro,6,26-03-2020
10,4,Batalha,,26-03-2020
2,5,Beja,,26-03-2020
5,1,Belmonte,,26-03-2020
14,5,Benavente,,26-03-2020
10,5,Bombarral,,26-03-2020
7,3,Borba,,26-03-2020
17,2,Boticas,,26-03-2020
3,3,Braga,98,26-03-2020
4,2,Bragança,19,26-03-2020
3,4,Cabeceiras de Basto,,26-03-2020
11,4,Cadaval,,26-03-2020
10,6,Caldas da Rainha,,26-03-2020
31,1,Calheta (Madeira),,26-03-2020
45,1,Calheta (São Jorge),,26-03-2020
16,2,Caminha,3,26-03-2020
12,4,Campo Maior,,26-03-2020
6,2,Cantanhede,4,26-03-2020
4,3,Carrazeda de Ansiães,,26-03-2020
18,2,Carregal do Sal,,26-03-2020
14,6,Cartaxo,4,26-03-2020
11,5,Cascais,44,26-03-2020
10,7,Castanheira de Pêra,,26-03-2020
5,2,Castelo Branco,,26-03-2020
1,6,Castelo de Paiva,,26-03-2020
12,5,Castelo de Vide,,26-03-2020
18,3,Castro Daire,,26-03-2020
8,4,Castro Marim,,26-03-2020
2,6,Castro Verde,,26-03-2020
9,3,Celorico da Beira,,26-03-2020
3,5,Celorico de Basto,,26-03-2020
14,7,Chamusca,,26-03-2020
17,3,Chaves,3,26-03-2020
18,4,Cinfães,,26-03-2020
6,3,Coimbra,87,26-03-2020
6,4,Condeixa-a-Nova,4,26-03-2020
14,8,Constância,,26-03-2020
14,9,Coruche,4,26-03-2020
49,1,Corvo,,26-03-2020
5,3,Covilhã,,26-03-2020
12,6,Crato,,26-03-2020
2,7,Cuba,,26-03-2020
31,2,Câmara de Lobos,,26-03-2020
12,7,Elvas,,26-03-2020
14,10,Entroncamento,,26-03-2020
1,7,Espinho,13,26-03-2020
3,6,Esposende,5,26-03-2020
1,8,Estarreja,6,26-03-2020
7,4,Estremoz,,26-03-2020
3,7,Fafe,5,26-03-2020
8,5,Faro,25,26-03-2020
13,3,Felgueiras,24,26-03-2020
2,8,Ferreira do Alentejo,,26-03-2020
14,11,Ferreira do Zêzere,,26-03-2020
6,5,Figueira da Foz,,26-03-2020
